Maxsulot,Narx,Bozor nomlari,Sana
Тарвуз,1900,Қўйлиқ бозори,2022-09-21
Карам,2450,Қўйлиқ бозори,2022-09-21
Қовун,2500,Қўйлиқ бозори,2022-09-21
Сабзи,2550,Қўйлиқ бозори,2022-09-21
Туз,2650,Қўйлиқ бозори,2022-09-21
Хўраки лавлаги,2950,Қўйлиқ бозори,2022-09-21
Бақлажон,3000,Қўйлиқ бозори,2022-09-21
Қовоқ,3000,Қўйлиқ бозори,2022-09-21
Кепак,3160,Қўйлиқ бозори,2022-09-21
Пиёз,3190,Қўйлиқ бозори,2022-09-21
Картошка,3670,Қўйлиқ бозори,2022-09-21
Арпа,4125,Қўйлиқ бозори,2022-09-21
Бодринг,4600,Қўйлиқ бозори,2022-09-21
Комбикорм,4600,Қўйлиқ бозори,2022-09-21
Биринчи навли ундан қолипли нон (1 дона),4666,Қўйлиқ бозори,2022-09-21
Жўхори,4700,Қўйлиқ бозори,2022-09-21
Шолғом,5000,Қўйлиқ бозори,2022-09-21
Буғдой,5360,Қўйлиқ бозори,2022-09-21
"Сут, 1 литр",5900,Қўйлиқ бозори,2022-09-21
Сут ва қатиқ махсулотлари,5911,Қўйлиқ бозори,2022-09-21
Биринчи навли буғдой  уни (импорт),6862,Қўйлиқ бозори,2022-09-21
Биринчи навли буғдой уни,6880,Қўйлиқ бозори,2022-09-21
Биринчи навли буғдой уни (маҳаллий),6900,Қўйлиқ бозори,2022-09-21
Помидор,7400,Қўйлиқ бозори,2022-09-21
Олий навли буғдой уни (импорт),8460,Қўйлиқ бозори,2022-09-21
Олий навли буғдой уни,8460,Қўйлиқ бозори,2022-09-21
Булғор қалампири,8700,Қўйлиқ бозори,2022-09-21
"Тухум, 10 донаси",10750,Қўйлиқ бозори,2022-09-21
Узум,11300,Қўйлиқ бозори,2022-09-21
Гуруч,11700,Қўйлиқ бозори,2022-09-21
Олма,11900,Қўйлиқ бозори,2022-09-21
Манний ёрмаси,12000,Қўйлиқ бозори,2022-09-21
Макарон,12050,Қўйлиқ бозори,2022-09-21
Жавдар нони,12425,Қўйлиқ бозори,2022-09-21
Шакар,13875,Қўйлиқ бозори,2022-09-21
Мош,15100,Қўйлиқ бозори,2022-09-21
Нок,15900,Қўйлиқ бозори,2022-09-21
Ловия,16000,Қўйлиқ бозори,2022-09-21
"Кўкатлар (кўк пиёз, укроп, петрушка ва бошқалар, тури кўрсатилсин)",16900,Қўйлиқ бозори,2022-09-21
Нўхат,17500,Қўйлиқ бозори,2022-09-21
Лимон,19500,Қўйлиқ бозори,2022-09-21
"Пахта ёғи, 1 литр",20130,Қўйлиқ бозори,2022-09-21
Ўсимлик ёғи,20603,Қўйлиқ бозори,2022-09-21
"Кунгабоқар ёғи, 1 литр",20840,Қўйлиқ бозори,2022-09-21
Творог,21857,Қўйлиқ бозори,2022-09-21
Сметана,22166,Қўйлиқ бозори,2022-09-21
Балиқ,28000,Қўйлиқ бозори,2022-09-21
Парранда гўшти,29750,Қўйлиқ бозори,2022-09-21
Бринза,31428,Қўйлиқ бозори,2022-09-21
Кишмиш,31800,Қўйлиқ бозори,2022-09-21
Қаймок,35166,Қўйлиқ бозори,2022-09-21
Туршак (баргак),41000,Қўйлиқ бозори,2022-09-21
Пишлоқ,62200,Қўйлиқ бозори,2022-09-21
Сариёғ,67900,Қўйлиқ бозори,2022-09-21
Мол гўшти,69775,Қўйлиқ бозори,2022-09-21
Қўй гўшти,75300,Қўйлиқ бозори,2022-09-21
Болалар маҳсус озуқаси,181000,Қўйлиқ бозори,2022-09-21
